Config,Subject,Condition,Status,Shape
cov_4s_50ov,G37,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G38,EC,Success,"(91, 8, 8)"
cov_4s_50ov,G38,CPT,Success,"(216, 8, 8)"
cov_4s_50ov,G39,EC,Success,"(103, 8, 8)"
cov_4s_50ov,G39,CPT,No data found,N/A
cov_4s_50ov,G40,EC,Success,"(52, 8, 8)"
cov_4s_50ov,G40,CPT,No data found,N/A
cov_4s_50ov,G41,EC,Success,"(105, 8, 8)"
cov_4s_50ov,G41,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G42,EC,Success,"(105, 8, 8)"
cov_4s_50ov,G42,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G43,EC,Success,"(105, 8, 8)"
cov_4s_50ov,G43,CPT,Success,"(223, 8, 8)"
